Time:37.25378 Axis vector:(0.1, -0.6) Thumbrotation:170.6248
Time:37.35447 Axis vector:(0.1, -0.6) Thumbrotation:170.4113
Time:37.45471 Axis vector:(0.1, -0.6) Thumbrotation:170.2595
Time:37.55534 Axis vector:(0.1, -0.6) Thumbrotation:170.2256
Time:37.65612 Axis vector:(0.1, -0.6) Thumbrotation:170.2452
Time:37.75662 Axis vector:(0.0, -0.6) Thumbrotation:175.8606
Time:37.85704 Axis vector:(-0.3, -0.5) Thumbrotation:-149.3471
Time:37.95752 Axis vector:(-0.5, -0.4) Thumbrotation:-126.6156
Time:38.05797 Axis vector:(-0.5, -0.1) Thumbrotation:-99.94466
Time:38.15873 Axis vector:(-0.4, 0.1) Thumbrotation:-73.51138
Time:38.25946 Axis vector:(-0.4, 0.2) Thumbrotation:-65.59049
Time:38.35961 Axis vector:(-0.3, 0.2) Thumbrotation:-64.60498
Time:38.46009 Axis vector:(-0.3, 0.2) Thumbrotation:-63.3354
Time:38.56062 Axis vector:(-0.3, 0.1) Thumbrotation:-69.06122
Time:38.66119 Axis vector:(-0.2, 0.0) Thumbrotation:-78.48009
Time:38.76175 Axis vector:(-0.1, -0.1) Thumbrotation:-128.5199
Time:38.8622 Axis vector:(-0.1, -0.1) Thumbrotation:-148.8993
Time:38.96271 Axis vector:(-0.1, -0.1) Thumbrotation:-157.6023
Time:39.06327 Axis vector:(0.0, -0.1) Thumbrotation:-160.5503
Time:39.16384 Axis vector:(0.0, -0.1) Thumbrotation:-161.9056
Time:39.26441 Axis vector:(0.0, -0.1) Thumbrotation:-162.5087
Time:39.36491 Axis vector:(0.0, -0.1) Thumbrotation:-162.8419
Time:39.46547 Axis vector:(0.0, -0.1) Thumbrotation:-163.0052
Time:39.56615 Axis vector:(0.0, -0.1) Thumbrotation:-163.0049
Time:39.6665 Axis vector:(0.0, -0.1) Thumbrotation:-162.9513
Time:39.7672 Axis vector:(0.0, -0.1) Thumbrotation:-162.8378
Time:39.86762 Axis vector:(0.0, -0.1) Thumbrotation:-162.8521
Time:39.96804 Axis vector:(0.0, -0.1) Thumbrotation:-162.9955
Time:40.06861 Axis vector:(0.0, -0.1) Thumbrotation:-163.1151
Time:40.16925 Axis vector:(0.0, -0.1) Thumbrotation:-163.1492
Time:40.2698 Axis vector:(0.0, -0.1) Thumbrotation:-163.1556
Time:40.37019 Axis vector:(0.0, -0.1) Thumbrotation:-163.1687
Time:40.47066 Axis vector:(0.0, -0.1) Thumbrotation:-163.2158
Time:40.57116 Axis vector:(0.0, -0.1) Thumbrotation:-163.3189
Time:40.67205 Axis vector:(0.0, -0.1) Thumbrotation:-163.2684
Time:40.77268 Axis vector:(0.0, -0.1) Thumbrotation:-163.3053
Time:40.87281 Axis vector:(0.0, -0.1) Thumbrotation:-163.5652
Time:40.97336 Axis vector:(0.0, -0.1) Thumbrotation:-164.1159
Time:41.07374 Axis vector:(0.0, -0.1) Thumbrotation:-164.743
Time:41.17449 Axis vector:(0.0, -0.1) Thumbrotation:-165.1653
Time:41.27486 Axis vector:(0.0, -0.1) Thumbrotation:-165.2301
Time:41.37539 Axis vector:(0.0, -0.1) Thumbrotation:-164.9897
Time:41.47605 Axis vector:(0.0, -0.1) Thumbrotation:-164.6294
Time:41.57655 Axis vector:(0.0, -0.1) Thumbrotation:-164.2525
Time:41.67722 Axis vector:(0.0, -0.1) Thumbrotation:-164.0134
Time:41.77764 Axis vector:(0.0, -0.1) Thumbrotation:-163.7779
Time:41.87835 Axis vector:(0.0, -0.1) Thumbrotation:-163.5075
Time:41.97884 Axis vector:(0.0, -0.1) Thumbrotation:-163.2451
Time:42.07909 Axis vector:(0.0, -0.1) Thumbrotation:-163.0728
Time:42.17974 Axis vector:(0.0, -0.1) Thumbrotation:-162.9734
Time:42.28023 Axis vector:(0.0, -0.1) Thumbrotation:-162.8432
Time:42.38067 Axis vector:(0.0, -0.1) Thumbrotation:-162.739
Time:42.48132 Axis vector:(0.0, -0.1) Thumbrotation:-162.6882
Time:42.58161 Axis vector:(0.0, -0.1) Thumbrotation:-162.709
Time:42.68256 Axis vector:(0.0, -0.1) Thumbrotation:-162.7854
Time:42.78279 Axis vector:(0.0, -0.1) Thumbrotation:-162.8055
Time:42.88348 Axis vector:(0.0, -0.1) Thumbrotation:-162.761
Time:42.98381 Axis vector:(0.0, -0.1) Thumbrotation:-162.7327
Time:43.08442 Axis vector:(0.0, -0.1) Thumbrotation:-162.7134
Time:43.19114 Axis vector:(0.0, -0.1) Thumbrotation:-162.6724
Time:43.29668 Axis vector:(0.0, -0.1) Thumbrotation:-162.9698
Time:43.39716 Axis vector:(0.0, -0.1) Thumbrotation:-163.175
Time:43.49796 Axis vector:(0.0, -0.1) Thumbrotation:-163.5391
Time:43.59815 Axis vector:(0.0, -0.1) Thumbrotation:-164.0294
Time:43.69875 Axis vector:(0.0, -0.2) Thumbrotation:-164.5567
Time:43.79931 Axis vector:(0.0, -0.2) Thumbrotation:-164.9385
Time:43.89984 Axis vector:(0.0, -0.2) Thumbrotation:-165.197
Time:44.00038 Axis vector:(0.0, -0.2) Thumbrotation:-165.4196
Time:44.10148 Axis vector:(0.0, -0.2) Thumbrotation:-165.4249
Time:44.21251 Axis vector:(0.0, -0.2) Thumbrotation:-165.1608
Time:44.31326 Axis vector:(0.0, -0.2) Thumbrotation:-164.6322
Time:44.41402 Axis vector:(0.0, -0.1) Thumbrotation:-163.788
Time:44.51409 Axis vector:(0.0, -0.1) Thumbrotation:-161.1742
Time:44.61454 Axis vector:(-0.1, -0.1) Thumbrotation:-141.0583
Time:44.71525 Axis vector:(0.0, 0.0) Thumbrotation:0.3986039
Time:44.81584 Axis vector:(0.3, 0.0) Thumbrotation:90.3232
Time:44.91635 Axis vector:(0.5, -0.2) Thumbrotation:116.4983
Time:45.01677 Axis vector:(0.3, -0.6) Thumbrotation:150.252
Time:45.11729 Axis vector:(0.1, -0.9) Thumbrotation:176.3406
Time:45.21812 Axis vector:(-0.2, -0.9) Thumbrotation:-166.4749
Time:45.3195 Axis vector:(-0.5, -0.7) Thumbrotation:-141.9564
Time:45.43008 Axis vector:(-0.7, -0.4) Thumbrotation:-119.2797
Time:45.53078 Axis vector:(-0.8, -0.1) Thumbrotation:-99.47926
Time:45.63148 Axis vector:(-0.8, 0.0) Thumbrotation:-92.41716
Time:45.7429 Axis vector:(-0.8, 0.1) Thumbrotation:-82.67264
Time:45.84328 Axis vector:(-0.7, 0.2) Thumbrotation:-72.78191
Time:45.9439 Axis vector:(-0.5, 0.3) Thumbrotation:-61.33444
Time:46.04435 Axis vector:(-0.3, 0.4) Thumbrotation:-36.81932
Time:46.14479 Axis vector:(0.0, 0.5) Thumbrotation:1.489772
Time:46.24548 Axis vector:(0.3, 0.6) Thumbrotation:25.14958
Time:46.34649 Axis vector:(0.5, 0.6) Thumbrotation:38.35303
Time:46.45769 Axis vector:(0.6, 0.5) Thumbrotation:52.63602
Time:46.55811 Axis vector:(0.7, 0.3) Thumbrotation:66.85162
Time:46.65874 Axis vector:(0.8, 0.2) Thumbrotation:76.17723
Time:46.75938 Axis vector:(0.8, 0.0) Thumbrotation:92.19587
Time:46.8601 Axis vector:(0.6, -0.2) Thumbrotation:110.8515
Time:46.96053 Axis vector:(0.5, -0.4) Thumbrotation:131.2211
Time:47.06092 Axis vector:(0.4, -0.5) Thumbrotation:143.6086
Time:47.16151 Axis vector:(0.3, -0.6) Thumbrotation:149.8811
Time:47.26213 Axis vector:(0.3, -0.6) Thumbrotation:152.0502
Time:47.36234 Axis vector:(0.3, -0.6) Thumbrotation:152.6846
Time:47.46301 Axis vector:(0.3, -0.6) Thumbrotation:152.838
Time:47.56349 Axis vector:(0.3, -0.6) Thumbrotation:153.1359
Time:47.66402 Axis vector:(0.3, -0.6) Thumbrotation:153.477
Time:47.76451 Axis vector:(0.3, -0.6) Thumbrotation:153.8159
Time:47.86509 Axis vector:(0.3, -0.6) Thumbrotation:154.1254
Time:47.9656 Axis vector:(0.3, -0.6) Thumbrotation:154.4255
Time:48.06635 Axis vector:(0.3, -0.6) Thumbrotation:154.7605
Time:48.178 Axis vector:(0.3, -0.6) Thumbrotation:155.0516
Time:48.27836 Axis vector:(0.3, -0.6) Thumbrotation:155.2247
Time:48.37871 Axis vector:(0.3, -0.6) Thumbrotation:155.3452
Time:48.47943 Axis vector:(0.3, -0.6) Thumbrotation:155.4964
Time:48.58018 Axis vector:(0.3, -0.6) Thumbrotation:155.6189
Time:48.68073 Axis vector:(0.3, -0.6) Thumbrotation:155.7038
Time:48.78121 Axis vector:(0.3, -0.6) Thumbrotation:155.7626
Time:48.88144 Axis vector:(0.3, -0.6) Thumbrotation:155.7626
Time:48.98204 Axis vector:(0.3, -0.6) Thumbrotation:155.7626
Time:49.08255 Axis vector:(0.3, -0.6) Thumbrotation:155.7626
Time:49.18346 Axis vector:(0.3, -0.6) Thumbrotation:155.7626
Time:49.2839 Axis vector:(0.3, -0.6) Thumbrotation:155.7626
Time:49.38411 Axis vector:(0.3, -0.6) Thumbrotation:155.7626
Time:49.48454 Axis vector:(0.3, -0.6) Thumbrotation:155.775
Time:49.5851 Axis vector:(0.3, -0.6) Thumbrotation:155.8387
Time:49.68572 Axis vector:(0.3, -0.6) Thumbrotation:155.881
Time:49.78631 Axis vector:(0.3, -0.6) Thumbrotation:155.9091
Time:49.88669 Axis vector:(0.3, -0.6) Thumbrotation:155.9389
Time:49.98736 Axis vector:(0.3, -0.6) Thumbrotation:155.9487
Time:50.08803 Axis vector:(0.3, -0.6) Thumbrotation:155.9487
Time:50.18842 Axis vector:(0.3, -0.6) Thumbrotation:155.9487
Time:50.28885 Axis vector:(0.3, -0.6) Thumbrotation:155.9487
Time:50.38936 Axis vector:(0.3, -0.6) Thumbrotation:155.9487
Time:50.49018 Axis vector:(0.3, -0.6) Thumbrotation:155.9487
Time:50.59049 Axis vector:(0.3, -0.6) Thumbrotation:155.9487
Time:50.69085 Axis vector:(0.3, -0.6) Thumbrotation:155.9487
Time:50.7914 Axis vector:(0.3, -0.6) Thumbrotation:155.9618
Time:50.89209 Axis vector:(0.3, -0.6) Thumbrotation:155.9618
Time:50.99254 Axis vector:(0.3, -0.6) Thumbrotation:155.9618
Time:51.09292 Axis vector:(0.3, -0.6) Thumbrotation:155.9666
Time:51.19357 Axis vector:(0.3, -0.6) Thumbrotation:155.9798
Time:51.29411 Axis vector:(0.3, -0.6) Thumbrotation:155.9798
Time:51.39473 Axis vector:(0.3, -0.6) Thumbrotation:155.992
Time:51.4953 Axis vector:(0.3, -0.6) Thumbrotation:155.992
Time:51.5958 Axis vector:(0.3, -0.6) Thumbrotation:156.0419
Time:51.69664 Axis vector:(0.2, -0.6) Thumbrotation:156.0863
Time:51.79695 Axis vector:(0.2, -0.6) Thumbrotation:156.1172
Time:51.8973 Axis vector:(0.2, -0.6) Thumbrotation:156.1513
Time:51.99793 Axis vector:(0.2, -0.6) Thumbrotation:156.1809
Time:52.09842 Axis vector:(0.2, -0.6) Thumbrotation:156.2051
Time:52.19903 Axis vector:(0.2, -0.6) Thumbrotation:156.2595
Time:52.2995 Axis vector:(0.2, -0.6) Thumbrotation:156.3425
Time:52.40034 Axis vector:(0.2, -0.6) Thumbrotation:156.4111
Time:52.5006 Axis vector:(0.2, -0.6) Thumbrotation:156.5144
Time:52.60101 Axis vector:(0.2, -0.6) Thumbrotation:156.6
Time:52.70187 Axis vector:(0.2, -0.6) Thumbrotation:156.6874
Time:52.80212 Axis vector:(0.2, -0.6) Thumbrotation:156.7558
Time:52.90281 Axis vector:(0.2, -0.6) Thumbrotation:156.8331
Time:53.00323 Axis vector:(0.2, -0.6) Thumbrotation:156.901
Time:53.10369 Axis vector:(0.2, -0.6) Thumbrotation:156.9449
Time:53.20461 Axis vector:(0.2, -0.6) Thumbrotation:156.9923
Time:53.30471 Axis vector:(0.2, -0.6) Thumbrotation:157.0178
Time:53.40528 Axis vector:(0.2, -0.6) Thumbrotation:157.0446
Time:53.5057 Axis vector:(0.2, -0.6) Thumbrotation:157.0737
Time:53.60645 Axis vector:(0.2, -0.6) Thumbrotation:157.1006
Time:53.70675 Axis vector:(0.2, -0.6) Thumbrotation:157.1006
Time:53.8075 Axis vector:(0.2, -0.6) Thumbrotation:157.1006
Time:53.90806 Axis vector:(0.2, -0.6) Thumbrotation:157.109
Time:54.00845 Axis vector:(0.2, -0.6) Thumbrotation:157.1181
Time:54.10921 Axis vector:(0.2, -0.6) Thumbrotation:157.1371
Time:54.20972 Axis vector:(0.2, -0.6) Thumbrotation:157.1564
Time:54.30978 Axis vector:(0.2, -0.6) Thumbrotation:157.1564
Time:54.41063 Axis vector:(0.2, -0.6) Thumbrotation:157.1669
Time:54.51099 Axis vector:(0.2, -0.6) Thumbrotation:157.1932
Time:54.61157 Axis vector:(0.2, -0.6) Thumbrotation:157.2365
Time:54.71222 Axis vector:(0.2, -0.6) Thumbrotation:157.2411
Time:54.81263 Axis vector:(0.2, -0.6) Thumbrotation:157.2458
Time:54.91301 Axis vector:(0.2, -0.6) Thumbrotation:157.25
Time:55.01366 Axis vector:(0.2, -0.6) Thumbrotation:157.25
Time:55.11423 Axis vector:(0.2, -0.6) Thumbrotation:157.2877
Time:55.21478 Axis vector:(0.2, -0.6) Thumbrotation:157.3044
Time:55.3154 Axis vector:(0.2, -0.6) Thumbrotation:157.3439
Time:55.41609 Axis vector:(0.2, -0.6) Thumbrotation:157.4044
Time:55.51664 Axis vector:(0.2, -0.6) Thumbrotation:157.5058
Time:55.61689 Axis vector:(0.2, -0.6) Thumbrotation:157.5912
Time:55.71722 Axis vector:(0.2, -0.6) Thumbrotation:157.6571
Time:55.81788 Axis vector:(0.3, -0.6) Thumbrotation:155.642
Time:55.91845 Axis vector:(0.4, -0.6) Thumbrotation:146.0511
Time:56.92414 Axis vector:(0.2, 0.4) Thumbrotation:26.38623
Time:57.02423 Axis vector:(0.2, 0.5) Thumbrotation:18.85227
Time:57.12481 Axis vector:(0.2, 0.5) Thumbrotation:17.71448
Time:57.22532 Axis vector:(0.2, 0.5) Thumbrotation:16.90316
Time:57.32559 Axis vector:(0.1, 0.5) Thumbrotation:17.00603
Time:57.42619 Axis vector:(0.1, 0.4) Thumbrotation:16.93591
Time:57.52689 Axis vector:(0.1, 0.4) Thumbrotation:17.34348
Time:57.6272 Axis vector:(0.1, 0.4) Thumbrotation:18.32581
Time:57.72807 Axis vector:(0.1, 0.4) Thumbrotation:19.07406
Time:57.82888 Axis vector:(0.1, 0.4) Thumbrotation:19.66327
Time:57.94025 Axis vector:(0.1, 0.4) Thumbrotation:19.96846
Time:58.04065 Axis vector:(0.1, 0.4) Thumbrotation:19.7005
Time:58.14135 Axis vector:(0.1, 0.4) Thumbrotation:18.3792
Time:58.24187 Axis vector:(0.1, 0.4) Thumbrotation:14.70532
Time:58.34239 Axis vector:(0.0, 0.4) Thumbrotation:-3.371504
Time:58.44273 Axis vector:(-0.2, 0.4) Thumbrotation:-25.97128
Time:58.54322 Axis vector:(-0.2, 0.3) Thumbrotation:-35.46067
Time:58.64375 Axis vector:(-0.2, 0.3) Thumbrotation:-38.31842
Time:58.74438 Axis vector:(-0.2, 0.3) Thumbrotation:-38.89711
Time:58.84483 Axis vector:(-0.2, 0.3) Thumbrotation:-38.18921
Time:58.94548 Axis vector:(-0.2, 0.3) Thumbrotation:-36.56566
Time:59.04625 Axis vector:(-0.2, 0.3) Thumbrotation:-35.60633
Time:59.1478 Axis vector:(-0.2, 0.3) Thumbrotation:-35.21713
Time:59.25819 Axis vector:(-0.2, 0.3) Thumbrotation:-35.15636
Time:59.35866 Axis vector:(-0.2, 0.3) Thumbrotation:-35.19604
Time:59.45919 Axis vector:(-0.2, 0.3) Thumbrotation:-35.30867
Time:59.55968 Axis vector:(-0.2, 0.3) Thumbrotation:-35.28645
Time:59.66019 Axis vector:(-0.2, 0.2) Thumbrotation:-35.57633
Time:59.76089 Axis vector:(-0.2, 0.2) Thumbrotation:-35.5856
Time:59.86144 Axis vector:(-0.2, 0.2) Thumbrotation:-35.61679
Time:59.96175 Axis vector:(-0.2, 0.2) Thumbrotation:-35.42859
Time:60.06263 Axis vector:(-0.2, 0.2) Thumbrotation:-35.24835
Time:60.16288 Axis vector:(-0.2, 0.2) Thumbrotation:-35.27394
Time:60.26385 Axis vector:(-0.2, 0.2) Thumbrotation:-35.36554
Time:60.364 Axis vector:(-0.2, 0.2) Thumbrotation:-35.31649
Time:60.46451 Axis vector:(-0.2, 0.2) Thumbrotation:-35.17093
Time:60.56514 Axis vector:(-0.2, 0.2) Thumbrotation:-35.11222
Time:60.66547 Axis vector:(-0.2, 0.2) Thumbrotation:-35.1227
Time:60.76616 Axis vector:(-0.2, 0.2) Thumbrotation:-35.12814
Time:60.86641 Axis vector:(-0.2, 0.2) Thumbrotation:-35.26641
Time:60.96709 Axis vector:(-0.2, 0.2) Thumbrotation:-35.32306
Time:61.06746 Axis vector:(-0.2, 0.2) Thumbrotation:-35.41288
Time:61.16817 Axis vector:(-0.2, 0.2) Thumbrotation:-35.50856
Time:61.26872 Axis vector:(-0.2, 0.2) Thumbrotation:-35.57246
Time:61.36903 Axis vector:(-0.2, 0.2) Thumbrotation:-35.53596
Time:61.47013 Axis vector:(-0.2, 0.2) Thumbrotation:-35.50682
Time:61.57019 Axis vector:(-0.2, 0.2) Thumbrotation:-36.79311
Time:61.6708 Axis vector:(-0.2, 0.2) Thumbrotation:-38.46087
Time:61.77122 Axis vector:(-0.2, 0.2) Thumbrotation:-40.82254
Time:61.87215 Axis vector:(-0.2, 0.2) Thumbrotation:-43.00356
Time:61.97237 Axis vector:(-0.2, 0.2) Thumbrotation:-44.87371
Time:62.07295 Axis vector:(-0.2, 0.2) Thumbrotation:-45.81755
Time:62.17331 Axis vector:(-0.2, 0.2) Thumbrotation:-46.36105
Time:62.27444 Axis vector:(-0.2, 0.2) Thumbrotation:-46.78748
Time:62.37445 Axis vector:(-0.2, 0.2) Thumbrotation:-47.04033
Time:62.47506 Axis vector:(-0.2, 0.2) Thumbrotation:-47.21863
Time:62.57572 Axis vector:(-0.2, 0.2) Thumbrotation:-47.08156
Time:62.67646 Axis vector:(-0.2, 0.2) Thumbrotation:-45.91971
Time:62.77677 Axis vector:(-0.2, 0.2) Thumbrotation:-44.02855
Time:62.87706 Axis vector:(-0.2, 0.2) Thumbrotation:-40.22926
Time:62.97756 Axis vector:(-0.2, 0.2) Thumbrotation:-34.34809
Time:63.0782 Axis vector:(-0.1, 0.3) Thumbrotation:-28.95378
Time:63.17855 Axis vector:(-0.1, 0.3) Thumbrotation:-27.21718
Time:63.27921 Axis vector:(-0.1, 0.3) Thumbrotation:-26.32197
Time:63.37965 Axis vector:(-0.1, 0.3) Thumbrotation:-25.86932
Time:63.4803 Axis vector:(-0.1, 0.3) Thumbrotation:-25.45055
Time:63.58102 Axis vector:(-0.1, 0.3) Thumbrotation:-24.80464
Time:63.68117 Axis vector:(-0.1, 0.3) Thumbrotation:-24.31586
Time:63.78209 Axis vector:(-0.1, 0.3) Thumbrotation:-23.39414
Time:63.88251 Axis vector:(-0.1, 0.3) Thumbrotation:-22.42571
Time:63.98303 Axis vector:(-0.1, 0.2) Thumbrotation:-21.58033
Time:64.08331 Axis vector:(-0.1, 0.2) Thumbrotation:-21.02367
Time:64.1839 Axis vector:(-0.1, 0.2) Thumbrotation:-20.94157
Time:64.28488 Axis vector:(-0.1, 0.2) Thumbrotation:-21.14491
Time:64.38496 Axis vector:(-0.1, 0.2) Thumbrotation:-21.35235
Time:64.48551 Axis vector:(-0.1, 0.2) Thumbrotation:-22.53522
Time:64.58595 Axis vector:(-0.1, 0.2) Thumbrotation:-25.07227
Time:64.68655 Axis vector:(-0.1, 0.2) Thumbrotation:-27.11782
-------New Trial--------
Start time:69.55273
Time:70.56673 Axis vector:(0.3, 0.9) Thumbrotation:16.37369
Time:70.66724 Axis vector:(0.2, 0.9) Thumbrotation:11.73996
Time:70.76765 Axis vector:(0.2, 0.9) Thumbrotation:9.6816
Time:70.86831 Axis vector:(0.2, 0.9) Thumbrotation:9.801788
Time:70.96883 Axis vector:(0.2, 0.9) Thumbrotation:9.836253
Time:71.06919 Axis vector:(0.2, 0.9) Thumbrotation:9.581891
Time:71.17019 Axis vector:(0.1, 0.9) Thumbrotation:9.095567
Time:71.2706 Axis vector:(0.1, 0.9) Thumbrotation:8.843758
Time:71.37103 Axis vector:(0.1, 0.9) Thumbrotation:8.67754
Time:71.47137 Axis vector:(0.1, 0.9) Thumbrotation:8.542725
Time:71.57221 Axis vector:(0.1, 0.9) Thumbrotation:8.456331
Time:71.67296 Axis vector:(0.1, 0.9) Thumbrotation:8.391314
Time:71.77297 Axis vector:(0.1, 0.9) Thumbrotation:8.343509
Time:71.87351 Axis vector:(0.1, 0.9) Thumbrotation:8.298909
Time:71.97401 Axis vector:(0.1, 0.9) Thumbrotation:8.242692
Time:72.07451 Axis vector:(0.1, 0.9) Thumbrotation:8.167819
Time:72.1753 Axis vector:(0.1, 0.9) Thumbrotation:8.090366
Time:72.27552 Axis vector:(0.1, 0.9) Thumbrotation:8.080483
Time:72.37644 Axis vector:(0.1, 0.9) Thumbrotation:8.054957
Time:72.47685 Axis vector:(0.1, 0.9) Thumbrotation:7.884685
Time:72.57734 Axis vector:(0.1, 0.9) Thumbrotation:7.474174
Time:72.67804 Axis vector:(0.1, 0.9) Thumbrotation:7.022443
Time:72.77849 Axis vector:(0.1, 0.9) Thumbrotation:6.528105
Time:72.87891 Axis vector:(0.1, 0.9) Thumbrotation:6.623386
Time:72.97964 Axis vector:(0.1, 0.9) Thumbrotation:6.746716
Time:73.07987 Axis vector:(0.1, 0.9) Thumbrotation:6.662708
Time:73.18026 Axis vector:(0.1, 0.9) Thumbrotation:6.36578
Time:73.28087 Axis vector:(0.1, 0.9) Thumbrotation:5.262167
Time:73.38126 Axis vector:(0.1, 1.0) Thumbrotation:3.866397
Time:73.48219 Axis vector:(0.1, 1.0) Thumbrotation:3.649373
Time:73.58264 Axis vector:(0.1, 1.0) Thumbrotation:3.56156
Time:73.68333 Axis vector:(0.1, 1.0) Thumbrotation:3.794883
Time:73.78343 Axis vector:(0.1, 1.0) Thumbrotation:4.175232
Time:73.88429 Axis vector:(0.1, 1.0) Thumbrotation:4.423591
Time:73.98459 Axis vector:(0.1, 1.0) Thumbrotation:4.567032
Time:74.08534 Axis vector:(0.1, 0.9) Thumbrotation:5.027534
Time:74.18575 Axis vector:(0.1, 0.9) Thumbrotation:7.384692
Time:74.28598 Axis vector:(0.2, 0.9) Thumbrotation:9.693208
Time:74.38668 Axis vector:(0.2, 0.9) Thumbrotation:9.678247
Time:74.48722 Axis vector:(0.1, 0.9) Thumbrotation:9.127204
Time:74.58773 Axis vector:(0.1, 0.9) Thumbrotation:8.780066
Time:74.68833 Axis vector:(0.1, 0.9) Thumbrotation:8.569467
Time:74.78919 Axis vector:(0.1, 0.9) Thumbrotation:8.443363
Time:74.89448 Axis vector:(0.1, 0.9) Thumbrotation:8.334278
Time:75.00091 Axis vector:(0.1, 0.9) Thumbrotation:8.273174
Time:75.10165 Axis vector:(0.1, 0.9) Thumbrotation:8.19774
Time:75.20202 Axis vector:(0.1, 0.9) Thumbrotation:8.180814
Time:75.30253 Axis vector:(0.1, 0.9) Thumbrotation:8.444874
Time:75.40314 Axis vector:(0.1, 0.9) Thumbrotation:8.680957
Time:75.50352 Axis vector:(0.1, 0.9) Thumbrotation:8.148085
Time:75.60416 Axis vector:(0.1, 0.9) Thumbrotation:7.372753
Time:75.7047 Axis vector:(0.1, 0.9) Thumbrotation:9.016873
Time:75.80547 Axis vector:(0.2, 0.9) Thumbrotation:10.37432
Time:75.90572 Axis vector:(0.2, 0.9) Thumbrotation:10.93191
Time:76.00664 Axis vector:(0.2, 0.9) Thumbrotation:11.01081
Time:76.10703 Axis vector:(0.2, 0.9) Thumbrotation:10.94395
Time:76.2074 Axis vector:(0.2, 0.9) Thumbrotation:10.80046
Time:76.30796 Axis vector:(0.2, 0.9) Thumbrotation:10.66271
Time:76.40852 Axis vector:(0.2, 0.9) Thumbrotation:10.56798
Time:76.50895 Axis vector:(0.2, 0.9) Thumbrotation:10.55259
Time:76.60955 Axis vector:(0.2, 0.9) Thumbrotation:10.60573
Time:76.71008 Axis vector:(0.2, 0.9) Thumbrotation:10.74257
Time:76.81044 Axis vector:(0.2, 0.9) Thumbrotation:10.86037
Time:76.91113 Axis vector:(0.2, 0.9) Thumbrotation:10.82173
Time:77.01179 Axis vector:(0.2, 0.9) Thumbrotation:10.69848
Time:77.11227 Axis vector:(0.2, 0.9) Thumbrotation:10.60259
Time:77.21301 Axis vector:(0.2, 0.9) Thumbrotation:10.54469
Time:77.31339 Axis vector:(0.2, 0.9) Thumbrotation:10.56461
Time:77.41379 Axis vector:(0.2, 0.9) Thumbrotation:10.91731
Time:77.51418 Axis vector:(0.2, 0.9) Thumbrotation:11.37825
Time:77.61466 Axis vector:(0.2, 0.9) Thumbrotation:11.9854
Time:77.71556 Axis vector:(0.2, 0.9) Thumbrotation:12.96251
Time:77.81583 Axis vector:(0.2, 0.9) Thumbrotation:13.53352
Time:77.91647 Axis vector:(0.2, 0.9) Thumbrotation:13.91635
Time:78.0169 Axis vector:(0.2, 0.9) Thumbrotation:14.23719
Time:78.11742 Axis vector:(0.2, 0.9) Thumbrotation:14.38772
Time:78.21816 Axis vector:(0.2, 0.9) Thumbrotation:14.24524
Time:78.31852 Axis vector:(0.2, 0.9) Thumbrotation:13.94039
Time:78.41922 Axis vector:(0.2, 0.9) Thumbrotation:13.47309
Time:78.5276 Axis vector:(0.2, 0.9) Thumbrotation:13.03928
Time:78.63129 Axis vector:(0.2, 0.9) Thumbrotation:12.51646
Time:78.73232 Axis vector:(0.2, 0.9) Thumbrotation:12.12285
Time:78.83238 Axis vector:(0.2, 0.9) Thumbrotation:11.33939
Time:78.93279 Axis vector:(0.2, 0.9) Thumbrotation:10.36117
Time:79.03328 Axis vector:(0.1, 0.9) Thumbrotation:9.407781
Time:79.13385 Axis vector:(0.1, 0.9) Thumbrotation:8.893554
Time:79.23629 Axis vector:(0.1, 0.8) Thumbrotation:8.530025
Time:79.34621 Axis vector:(0.1, 0.8) Thumbrotation:8.145145
Time:79.44698 Axis vector:(0.1, 0.8) Thumbrotation:7.18821
Time:79.54726 Axis vector:(0.1, 0.8) Thumbrotation:5.841606
Time:79.64771 Axis vector:(0.1, 0.8) Thumbrotation:5.052608
Time:79.74858 Axis vector:(0.1, 0.8) Thumbrotation:4.738384
Time:79.84879 Axis vector:(0.1, 0.8) Thumbrotation:4.891326
Time:79.94916 Axis vector:(0.1, 0.8) Thumbrotation:6.082152
Time:80.04974 Axis vector:(0.1, 0.8) Thumbrotation:7.652502
Time:80.15046 Axis vector:(0.1, 0.8) Thumbrotation:8.441222
Time:80.25105 Axis vector:(0.1, 0.8) Thumbrotation:8.380355
Time:80.35134 Axis vector:(0.1, 0.8) Thumbrotation:7.764983
Time:80.45207 Axis vector:(0.1, 0.8) Thumbrotation:7.29038
Time:80.55242 Axis vector:(0.1, 0.8) Thumbrotation:7.455247
Time:80.65323 Axis vector:(0.1, 0.8) Thumbrotation:7.750461
Time:80.75349 Axis vector:(0.1, 0.8) Thumbrotation:8.124292
Time:80.85417 Axis vector:(0.1, 0.8) Thumbrotation:8.733991
Time:80.95491 Axis vector:(0.1, 0.7) Thumbrotation:9.586691
Time:81.05505 Axis vector:(0.1, 0.7) Thumbrotation:10.01922
Time:81.15554 Axis vector:(0.1, 0.7) Thumbrotation:10.12906
Time:81.25631 Axis vector:(0.1, 0.7) Thumbrotation:10.15255
Time:81.3567 Axis vector:(0.1, 0.7) Thumbrotation:10.15306
