Time:9.128458 Axis vector:(-0.6, 0.1) Thumbrotation:-83.57801
Time:9.229024 Axis vector:(-0.7, 0.0) Thumbrotation:-87.87905
Time:9.329516 Axis vector:(-0.7, 0.0) Thumbrotation:-91.17582
Time:9.430276 Axis vector:(-0.7, -0.1) Thumbrotation:-98.89538
Time:9.530695 Axis vector:(-0.7, -0.2) Thumbrotation:-106.4042
Time:9.631254 Axis vector:(-0.7, -0.3) Thumbrotation:-114.5326
Time:9.731759 Axis vector:(-0.7, -0.4) Thumbrotation:-121.7253
Time:9.83229 Axis vector:(-0.6, -0.6) Thumbrotation:-133.2888
Time:9.933003 Axis vector:(-0.5, -0.7) Thumbrotation:-143.2541
Time:10.03339 Axis vector:(-0.4, -0.7) Thumbrotation:-148.5777
Time:10.13378 Axis vector:(-0.4, -0.7) Thumbrotation:-153.0215
Time:10.23559 Axis vector:(-0.2, -0.8) Thumbrotation:-166.7006
Time:10.34613 Axis vector:(0.0, -0.8) Thumbrotation:-176.8165
Time:10.44656 Axis vector:(0.0, -0.8) Thumbrotation:176.8378
Time:10.5472 Axis vector:(0.1, -0.8) Thumbrotation:174.5589
Time:10.64785 Axis vector:(0.1, -0.8) Thumbrotation:172.3268
Time:10.74828 Axis vector:(0.1, -0.8) Thumbrotation:170.0167
Time:10.84878 Axis vector:(0.3, -0.8) Thumbrotation:161.567
Time:10.94922 Axis vector:(0.4, -0.7) Thumbrotation:147.0575
Time:11.04975 Axis vector:(0.4, -0.6) Thumbrotation:144.9749
Time:11.15028 Axis vector:(0.4, -0.6) Thumbrotation:145.1332
Time:11.25067 Axis vector:(0.3, -0.7) Thumbrotation:154.5875
Time:11.35151 Axis vector:(0.1, -0.9) Thumbrotation:170.095
Time:11.45208 Axis vector:(-0.1, -0.9) Thumbrotation:-176.3088
Time:11.55247 Axis vector:(-0.2, -0.9) Thumbrotation:-164.758
Time:11.65287 Axis vector:(-0.4, -0.7) Thumbrotation:-147.4926
Time:11.75338 Axis vector:(-0.6, -0.4) Thumbrotation:-124.8073
Time:11.85397 Axis vector:(-0.7, -0.2) Thumbrotation:-101.9185
Time:11.95439 Axis vector:(-0.8, 0.1) Thumbrotation:-82.03626
Time:12.05503 Axis vector:(-0.8, 0.2) Thumbrotation:-76.53325
Time:12.1557 Axis vector:(-0.8, 0.2) Thumbrotation:-75.74828
Time:12.25601 Axis vector:(-0.8, 0.2) Thumbrotation:-75.08153
Time:12.35651 Axis vector:(-0.8, 0.2) Thumbrotation:-74.46877
