Start time:0.3071694
Time:84.08451 Axis vector:(-1.0, -0.2) Thumbrotation:-101.1181
Time:84.23362 Axis vector:(-0.4, 0.2) Thumbrotation:-62.0867
Time:84.38837 Axis vector:(0.0, 0.4) Thumbrotation:-6.396477
Time:84.53323 Axis vector:(0.0, 0.3) Thumbrotation:-5.634786
Time:84.70033 Axis vector:(0.0, 0.3) Thumbrotation:-5.996296
Time:84.86399 Axis vector:(0.0, 0.3) Thumbrotation:-8.334208
Time:84.97245 Axis vector:(-0.1, 0.4) Thumbrotation:-16.7926
Time:87.23008 Axis vector:(-0.3, 0.2) Thumbrotation:-62.50066
Time:87.41391 Axis vector:(-0.3, 0.0) Thumbrotation:-83.14977
Time:87.56841 Axis vector:(-0.3, 0.0) Thumbrotation:-84.49539
Time:87.75099 Axis vector:(-0.2, 0.0) Thumbrotation:-84.10824
Time:87.91096 Axis vector:(-0.2, 0.0) Thumbrotation:-79.62212
Time:88.05948 Axis vector:(-0.3, 0.2) Thumbrotation:-59.69392
Time:89.11095 Axis vector:(-0.9, -0.1) Thumbrotation:-93.93629
Time:89.24595 Axis vector:(-0.9, -0.2) Thumbrotation:-99.77692
Time:89.38305 Axis vector:(-0.9, -0.2) Thumbrotation:-105.2406
Time:89.52854 Axis vector:(-0.9, -0.3) Thumbrotation:-105.9331
Time:89.657 Axis vector:(-0.9, -0.2) Thumbrotation:-105.0034
Time:89.79798 Axis vector:(-0.9, -0.2) Thumbrotation:-104.3292
Time:89.95011 Axis vector:(-0.9, -0.2) Thumbrotation:-104.1665
Time:90.08438 Axis vector:(-0.9, -0.2) Thumbrotation:-104.0153
Time:90.22674 Axis vector:(-0.9, -0.2) Thumbrotation:-104.034
Time:90.36771 Axis vector:(-0.9, -0.2) Thumbrotation:-104.1471
Time:90.50562 Axis vector:(-0.9, -0.2) Thumbrotation:-103.9748
Time:90.65096 Axis vector:(-0.9, -0.2) Thumbrotation:-103.8183
Time:90.79567 Axis vector:(-0.9, -0.2) Thumbrotation:-104.0459
Time:90.94135 Axis vector:(-0.9, -0.2) Thumbrotation:-103.8318
Time:94.5603 Axis vector:(-1.0, -0.2) Thumbrotation:-100.5955
Time:94.72211 Axis vector:(-1.0, -0.1) Thumbrotation:-98.3375
Time:94.87803 Axis vector:(-1.0, -0.1) Thumbrotation:-97.77254
Time:94.99786 Axis vector:(-1.0, -0.1) Thumbrotation:-97.63219
Time:95.10288 Axis vector:(-1.0, -0.1) Thumbrotation:-97.58957
Start time:0.3533334
Time:7.622372 Axis vector:(-0.6, -0.8) Thumbrotation:-141.8547
Time:7.753355 Axis vector:(-0.6, -0.7) Thumbrotation:-142.8495
Time:7.872435 Axis vector:(-0.5, -0.7) Thumbrotation:-143.6633
Time:7.988154 Axis vector:(-0.5, -0.7) Thumbrotation:-144.0661
Time:15.43392 Axis vector:(-0.1, 0.3) Thumbrotation:-17.70341
Time:15.58643 Axis vector:(-0.3, 0.4) Thumbrotation:-32.54038
Time:15.74611 Axis vector:(-0.3, 0.4) Thumbrotation:-33.85892
Time:15.89858 Axis vector:(-0.3, 0.4) Thumbrotation:-33.73541
Time:16.04287 Axis vector:(-0.2, 0.4) Thumbrotation:-31.53546
Time:16.21676 Axis vector:(-0.2, 0.3) Thumbrotation:-30.00344
Time:16.35962 Axis vector:(-0.2, 0.3) Thumbrotation:-30.05657
Time:16.51584 Axis vector:(-0.2, 0.3) Thumbrotation:-29.91946
Time:16.671 Axis vector:(-0.2, 0.3) Thumbrotation:-29.9827
Time:17.46507 Axis vector:(-0.2, 0.5) Thumbrotation:-18.15679
Time:17.61369 Axis vector:(-0.1, 0.4) Thumbrotation:-18.8108
Time:17.74316 Axis vector:(-0.1, 0.4) Thumbrotation:-21.04679
Time:17.88072 Axis vector:(-0.2, 0.4) Thumbrotation:-24.54491
Time:18.00549 Axis vector:(-0.2, 0.4) Thumbrotation:-24.95486
Time:18.12381 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:18.25106 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:18.37148 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:18.50238 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:18.62341 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:18.76164 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:18.89324 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:19.02533 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:19.1516 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:19.29008 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:19.43094 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:19.54749 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:19.67707 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:19.79889 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:19.92439 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:20.05471 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:20.17652 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:20.29548 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:20.42412 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:20.54989 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:20.67882 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:20.79809 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:20.92871 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:21.04693 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:21.1596 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:21.2621 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:21.3867 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:21.50065 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:21.62023 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:21.73409 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:21.84741 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:21.96338 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:22.0828 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:22.19152 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:22.32314 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:22.46324 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:22.60355 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:22.77719 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:22.93587 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:23.08584 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:23.23077 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:23.36651 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:23.49821 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:23.62247 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:23.73516 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:23.85951 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:23.97135 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:24.09195 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:24.20653 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:24.33683 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:24.45433 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:24.57449 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:24.68203 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:24.79889 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:24.91584 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:25.03759 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:25.16939 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:25.29637 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:25.41237 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:25.52253 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:25.63043 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:25.74993 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:25.87141 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:25.99272 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:26.12138 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:26.24174 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:26.35689 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:26.47789 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:26.58818 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:26.70432 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:26.8302 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:26.95111 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:27.06196 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:27.19162 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:27.32029 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:27.45033 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:27.56584 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:27.70714 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:27.83509 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:27.97387 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:28.09917 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:28.21064 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:28.34391 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:28.47829 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:28.61037 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:28.75891 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:28.88291 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:29.02731 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:29.18978 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:29.33125 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:29.49191 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:29.63681 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:29.78049 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:29.89882 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:30.00805 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:30.12217 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:30.25132 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:30.37447 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:30.49968 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:30.61528 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:30.73482 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:30.85119 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
Time:30.97083 Axis vector:(-0.2, 0.4) Thumbrotation:-24.59517
-------New Trial--------
