Time:84.13297 Axis vector:(-0.4, 0.4) Thumbrotation:-45.70009
Time:84.23389 Axis vector:(-0.4, 0.3) Thumbrotation:-55.63568
Time:84.33395 Axis vector:(-0.4, 0.2) Thumbrotation:-61.96672
Time:84.43459 Axis vector:(-0.5, 0.2) Thumbrotation:-67.58945
Time:84.53501 Axis vector:(-0.5, 0.1) Thumbrotation:-73.99786
Time:84.63554 Axis vector:(-0.5, 0.1) Thumbrotation:-77.2738
Time:84.73635 Axis vector:(-0.5, 0.1) Thumbrotation:-80.01767
Time:84.83653 Axis vector:(-0.5, 0.1) Thumbrotation:-83.07249
Time:84.93709 Axis vector:(-0.5, 0.0) Thumbrotation:-85.62431
Time:85.03766 Axis vector:(-0.4, 0.0) Thumbrotation:-88.8362
Time:85.13821 Axis vector:(-0.4, 0.0) Thumbrotation:-92.62786
Time:85.23882 Axis vector:(-0.4, 0.0) Thumbrotation:-94.45527
Time:85.33978 Axis vector:(-0.4, 0.0) Thumbrotation:-94.20736
Time:85.44 Axis vector:(-0.4, 0.0) Thumbrotation:-89.86532
Time:85.54025 Axis vector:(-0.5, 0.1) Thumbrotation:-83.29993
Time:85.64082 Axis vector:(-0.8, 0.0) Thumbrotation:-93.0138
Time:85.74163 Axis vector:(-0.9, -0.1) Thumbrotation:-97.40932
Time:85.84182 Axis vector:(-0.8, -0.3) Thumbrotation:-112.5739
Time:85.94231 Axis vector:(-0.6, -0.5) Thumbrotation:-130.5058
Time:86.04302 Axis vector:(-0.3, -0.7) Thumbrotation:-154.5747
Time:86.14337 Axis vector:(0.2, -0.9) Thumbrotation:168.7899
Time:86.24393 Axis vector:(0.3, -0.9) Thumbrotation:164.3418
Time:86.34491 Axis vector:(0.3, -0.9) Thumbrotation:159.7777
Time:86.44497 Axis vector:(0.7, -0.5) Thumbrotation:128.7692
Time:86.54583 Axis vector:(0.8, -0.3) Thumbrotation:113.5226
Time:86.64647 Axis vector:(0.8, -0.2) Thumbrotation:103.6261
Time:86.74663 Axis vector:(0.9, -0.1) Thumbrotation:95.33194
Time:86.84718 Axis vector:(0.9, 0.0) Thumbrotation:87.7661
Time:86.94765 Axis vector:(0.9, 0.1) Thumbrotation:86.64014
Time:87.04823 Axis vector:(0.9, 0.1) Thumbrotation:86.42482
Time:87.14871 Axis vector:(0.9, 0.1) Thumbrotation:86.38251
Time:87.24943 Axis vector:(0.9, 0.1) Thumbrotation:85.17885
Time:87.34977 Axis vector:(0.8, 0.1) Thumbrotation:82.91344
Time:87.45072 Axis vector:(0.8, 0.1) Thumbrotation:81.24185
Time:87.5509 Axis vector:(0.8, 0.1) Thumbrotation:80.72823
Time:87.65138 Axis vector:(0.8, 0.1) Thumbrotation:80.55977
Time:87.75195 Axis vector:(0.8, 0.1) Thumbrotation:80.52766
Time:87.85258 Axis vector:(0.8, 0.1) Thumbrotation:80.53708
Time:87.95304 Axis vector:(0.8, 0.1) Thumbrotation:80.56255
Time:88.05335 Axis vector:(0.8, 0.1) Thumbrotation:80.58433
Time:88.1542 Axis vector:(0.8, 0.1) Thumbrotation:80.59412
Time:88.25454 Axis vector:(0.8, 0.1) Thumbrotation:80.60767
Time:88.35503 Axis vector:(0.8, 0.1) Thumbrotation:80.73346
Time:88.45583 Axis vector:(0.8, 0.1) Thumbrotation:81.53011
Time:88.5561 Axis vector:(0.8, 0.1) Thumbrotation:84.02724
Time:88.65661 Axis vector:(0.8, 0.1) Thumbrotation:85.06561
Time:88.75729 Axis vector:(0.8, 0.0) Thumbrotation:89.23975
Time:88.8577 Axis vector:(0.8, 0.0) Thumbrotation:92.31642
Time:88.95825 Axis vector:(0.8, 0.0) Thumbrotation:92.90408
Time:89.05891 Axis vector:(0.8, 0.0) Thumbrotation:93.16015
Time:89.1594 Axis vector:(0.8, 0.0) Thumbrotation:93.29623
Time:89.25993 Axis vector:(0.8, 0.0) Thumbrotation:93.3882
Time:89.36026 Axis vector:(0.8, 0.0) Thumbrotation:93.45221
Time:89.46084 Axis vector:(0.8, 0.0) Thumbrotation:93.51727
Time:89.56133 Axis vector:(0.8, -0.1) Thumbrotation:93.55523
Time:89.6619 Axis vector:(0.8, -0.1) Thumbrotation:93.59732
Time:89.7625 Axis vector:(0.8, -0.1) Thumbrotation:93.634
Time:89.86301 Axis vector:(0.8, -0.1) Thumbrotation:93.66595
Time:89.96352 Axis vector:(0.8, -0.1) Thumbrotation:93.68874
Time:90.064 Axis vector:(0.8, -0.1) Thumbrotation:93.71518
Time:90.16463 Axis vector:(0.8, -0.1) Thumbrotation:93.73989
Time:90.26517 Axis vector:(0.8, -0.1) Thumbrotation:93.80914
Time:90.36586 Axis vector:(0.8, -0.1) Thumbrotation:93.91412
Time:90.4661 Axis vector:(0.8, -0.1) Thumbrotation:94.11503
Time:90.56677 Axis vector:(0.8, -0.1) Thumbrotation:94.27481
Time:90.66717 Axis vector:(0.8, -0.1) Thumbrotation:94.43196
Time:90.76779 Axis vector:(0.8, -0.1) Thumbrotation:94.5232
Time:90.86829 Axis vector:(0.8, -0.1) Thumbrotation:94.59352
Time:91.77301 Axis vector:(-0.8, -0.1) Thumbrotation:-94.81694
Time:91.87343 Axis vector:(-0.8, 0.0) Thumbrotation:-90.48683
Time:91.97411 Axis vector:(-0.8, 0.0) Thumbrotation:-87.47024
Time:92.07461 Axis vector:(-0.8, 0.0) Thumbrotation:-92.08199
Time:92.17545 Axis vector:(-0.5, -0.1) Thumbrotation:-98.28397
Time:92.27567 Axis vector:(-0.5, -0.1) Thumbrotation:-97.24609
Time:92.37611 Axis vector:(-0.5, 0.0) Thumbrotation:-95.4305
Time:92.47668 Axis vector:(-0.5, 0.0) Thumbrotation:-86.72268
Time:92.57718 Axis vector:(-0.4, 0.0) Thumbrotation:-84.04609
Time:92.67789 Axis vector:(-0.7, 0.0) Thumbrotation:-85.71938
Time:93.5825 Axis vector:(0.2, 0.4) Thumbrotation:23.01131
Time:93.68304 Axis vector:(-0.1, 0.8) Thumbrotation:-5.072693
Time:93.78371 Axis vector:(0.0, 0.8) Thumbrotation:-1.725557
Time:93.88421 Axis vector:(0.0, 0.8) Thumbrotation:-0.7135413
Time:93.98627 Axis vector:(0.0, 0.6) Thumbrotation:-0.3351346
Time:94.09631 Axis vector:(0.0, 0.6) Thumbrotation:-0.4215088
Time:94.19674 Axis vector:(0.0, 0.6) Thumbrotation:-0.4121198
Time:94.29726 Axis vector:(0.0, 0.6) Thumbrotation:-0.1027921
Time:94.39798 Axis vector:(0.1, 0.6) Thumbrotation:11.32644
Time:94.49834 Axis vector:(0.5, 0.5) Thumbrotation:48.22502
Time:94.59897 Axis vector:(0.7, 0.2) Thumbrotation:71.78458
Time:94.69938 Axis vector:(0.7, 0.1) Thumbrotation:83.04565
Time:94.79994 Axis vector:(0.8, 0.0) Thumbrotation:93.49628
Time:94.90048 Axis vector:(0.8, -0.1) Thumbrotation:99.67805
Time:95.00107 Axis vector:(0.7, -0.2) Thumbrotation:102.6458
Time:95.1017 Axis vector:(0.7, -0.2) Thumbrotation:103.8481
Time:95.20245 Axis vector:(0.7, -0.2) Thumbrotation:103.8568
Time:95.30279 Axis vector:(0.7, -0.2) Thumbrotation:102.2543
Time:95.40337 Axis vector:(0.8, -0.1) Thumbrotation:99.84862
Time:95.50375 Axis vector:(0.8, -0.1) Thumbrotation:97.85162
Time:95.60413 Axis vector:(0.8, 0.0) Thumbrotation:93.39373
Time:95.70467 Axis vector:(0.8, 0.0) Thumbrotation:91.87948
Time:95.80527 Axis vector:(0.8, 0.0) Thumbrotation:90.86217
Time:95.90573 Axis vector:(0.8, 0.0) Thumbrotation:90.33341
Time:96.00629 Axis vector:(0.8, 0.0) Thumbrotation:90.04295
Time:96.10677 Axis vector:(0.8, 0.0) Thumbrotation:89.95325
Time:96.20746 Axis vector:(0.8, 0.0) Thumbrotation:89.8493
Time:96.70999 Axis vector:(0.4, 0.7) Thumbrotation:26.87092
Time:96.81046 Axis vector:(0.3, 0.7) Thumbrotation:20.18633
Time:96.91103 Axis vector:(0.2, 0.7) Thumbrotation:14.47615
Time:97.01151 Axis vector:(0.2, 0.6) Thumbrotation:14.69754
Time:97.11226 Axis vector:(0.2, 0.6) Thumbrotation:15.26886
Time:97.21262 Axis vector:(0.2, 0.6) Thumbrotation:15.46016
Time:97.31319 Axis vector:(0.2, 0.6) Thumbrotation:15.53457
Time:97.41364 Axis vector:(0.2, 0.5) Thumbrotation:15.9105
Time:97.5143 Axis vector:(0.2, 0.5) Thumbrotation:16.38108
Time:97.61493 Axis vector:(0.2, 0.5) Thumbrotation:17.08041
Time:97.72646 Axis vector:(0.1, 0.6) Thumbrotation:13.65593
Time:97.82686 Axis vector:(0.1, 0.6) Thumbrotation:7.716708
Time:97.92754 Axis vector:(0.0, 0.7) Thumbrotation:-2.602335
Time:98.02797 Axis vector:(-0.1, 0.7) Thumbrotation:-8.468955
Time:98.12852 Axis vector:(-0.1, 0.6) Thumbrotation:-8.830441
Time:98.22913 Axis vector:(-0.1, 0.6) Thumbrotation:-8.311204
Time:98.32948 Axis vector:(0.0, 0.6) Thumbrotation:-4.570162
Time:98.43014 Axis vector:(0.0, 0.6) Thumbrotation:4.467518
Time:98.53079 Axis vector:(0.1, 0.6) Thumbrotation:8.417809
Time:98.63117 Axis vector:(0.1, 0.6) Thumbrotation:8.991999
Time:98.73177 Axis vector:(0.1, 0.6) Thumbrotation:8.64452
Time:98.83239 Axis vector:(0.0, 0.6) Thumbrotation:4.799018
Time:98.93285 Axis vector:(0.0, 0.6) Thumbrotation:-2.095458
Time:99.03322 Axis vector:(-0.1, 0.7) Thumbrotation:-4.948349
Time:99.13389 Axis vector:(-0.1, 0.7) Thumbrotation:-5.546023
Time:99.23421 Axis vector:(-0.1, 0.7) Thumbrotation:-5.686961
Start time:103.9701
Time:107.1054 Axis vector:(-0.3, 0.6) Thumbrotation:-28.41396
Time:107.2062 Axis vector:(-0.3, 0.5) Thumbrotation:-30.92372
Time:107.3066 Axis vector:(-0.3, 0.4) Thumbrotation:-32.77984
Time:107.4071 Axis vector:(-0.3, 0.4) Thumbrotation:-34.71489
Time:107.5075 Axis vector:(-0.2, 0.4) Thumbrotation:-34.55718
Time:107.6081 Axis vector:(-0.2, 0.3) Thumbrotation:-34.84203
Time:107.7092 Axis vector:(-0.2, 0.3) Thumbrotation:-35.74105
