Start time:0.2050475
Start time:0.1293009
Start time:0.2259058
Start time:0.1436359
Time:13.50338 Axis vector:(-0.1, 1.0) Thumbrotation:-7.329862
Time:13.60391 Axis vector:(-0.1, 1.0) Thumbrotation:-7.329407
Time:13.70451 Axis vector:(-0.1, 1.0) Thumbrotation:-7.332672
Time:13.8052 Axis vector:(-0.1, 1.0) Thumbrotation:-7.341496
Time:13.90556 Axis vector:(-0.1, 1.0) Thumbrotation:-7.351031
Time:14.00631 Axis vector:(-0.1, 1.0) Thumbrotation:-7.397515
Time:14.10661 Axis vector:(-0.1, 1.0) Thumbrotation:-7.443973
Time:14.20739 Axis vector:(-0.1, 1.0) Thumbrotation:-7.470471
Time:14.30768 Axis vector:(-0.1, 1.0) Thumbrotation:-7.486346
Time:14.40829 Axis vector:(-0.1, 1.0) Thumbrotation:-7.566623
Time:14.50877 Axis vector:(-0.1, 1.0) Thumbrotation:-7.766701
Time:14.60915 Axis vector:(-0.1, 1.0) Thumbrotation:-8.034556
Time:14.71002 Axis vector:(-0.1, 1.0) Thumbrotation:-8.185325
Time:14.81028 Axis vector:(-0.1, 1.0) Thumbrotation:-8.23714
Time:14.9108 Axis vector:(-0.1, 1.0) Thumbrotation:-8.154949
Time:15.01143 Axis vector:(-0.1, 1.0) Thumbrotation:-8.036266
Time:15.1122 Axis vector:(-0.1, 1.0) Thumbrotation:-7.926572
Time:15.21294 Axis vector:(-0.1, 1.0) Thumbrotation:-7.875095
Time:15.31336 Axis vector:(-0.1, 1.0) Thumbrotation:-7.841699
Time:15.41348 Axis vector:(-0.1, 1.0) Thumbrotation:-7.816077
Time:15.51418 Axis vector:(-0.1, 1.0) Thumbrotation:-7.785858
Time:15.61473 Axis vector:(-0.1, 1.0) Thumbrotation:-7.788883
Time:15.715 Axis vector:(-0.1, 1.0) Thumbrotation:-7.815976
Time:15.81545 Axis vector:(-0.1, 1.0) Thumbrotation:-7.871504
Time:15.91616 Axis vector:(-0.1, 1.0) Thumbrotation:-8.014961
Time:16.01661 Axis vector:(-0.1, 1.0) Thumbrotation:-8.070054
Time:16.11724 Axis vector:(-0.1, 1.0) Thumbrotation:-8.023994
Time:16.21774 Axis vector:(-0.1, 1.0) Thumbrotation:-7.990849
Time:16.31833 Axis vector:(-0.1, 1.0) Thumbrotation:-8.062168
Time:16.41858 Axis vector:(-0.1, 1.0) Thumbrotation:-8.099024
Time:16.51916 Axis vector:(-0.1, 1.0) Thumbrotation:-8.079342
Time:16.61988 Axis vector:(-0.1, 1.0) Thumbrotation:-8.072146
Time:16.72041 Axis vector:(-0.1, 1.0) Thumbrotation:-8.049569
Time:16.82098 Axis vector:(-0.1, 1.0) Thumbrotation:-7.981803
Time:16.92131 Axis vector:(-0.1, 1.0) Thumbrotation:-7.902316
Time:17.0219 Axis vector:(-0.1, 1.0) Thumbrotation:-7.82624
Time:17.1223 Axis vector:(-0.1, 1.0) Thumbrotation:-7.794979
Time:17.2229 Axis vector:(-0.1, 1.0) Thumbrotation:-7.773648
Time:17.32329 Axis vector:(-0.1, 1.0) Thumbrotation:-7.770567
Time:17.43939 Axis vector:(-0.1, 1.0) Thumbrotation:-7.82456
Time:17.54691 Axis vector:(-0.1, 1.0) Thumbrotation:-7.946038
Time:17.64757 Axis vector:(-0.1, 1.0) Thumbrotation:-8.199105
Time:17.74819 Axis vector:(-0.1, 0.9) Thumbrotation:-8.540862
Time:17.84842 Axis vector:(-0.1, 0.9) Thumbrotation:-8.794685
Time:17.94909 Axis vector:(-0.1, 0.9) Thumbrotation:-9.003834
Time:18.04965 Axis vector:(-0.1, 0.9) Thumbrotation:-9.072659
Time:18.15001 Axis vector:(-0.1, 0.9) Thumbrotation:-9.07712
Time:18.25069 Axis vector:(-0.1, 0.9) Thumbrotation:-9.064448
Time:18.35119 Axis vector:(-0.1, 0.9) Thumbrotation:-9.062129
Time:18.45183 Axis vector:(-0.1, 0.9) Thumbrotation:-9.076644
Time:18.55241 Axis vector:(-0.1, 0.9) Thumbrotation:-9.079133
Time:18.68338 Axis vector:(-0.1, 0.9) Thumbrotation:-9.076449
Time:18.78666 Axis vector:(-0.1, 0.9) Thumbrotation:-9.073721
Time:18.88734 Axis vector:(-0.1, 0.9) Thumbrotation:-9.094227
Time:18.98775 Axis vector:(-0.1, 0.9) Thumbrotation:-9.125869
Time:19.08838 Axis vector:(-0.1, 0.9) Thumbrotation:-9.158433
Time:19.18889 Axis vector:(-0.1, 0.9) Thumbrotation:-9.13835
Time:19.28942 Axis vector:(-0.1, 0.9) Thumbrotation:-8.575354
Time:19.38987 Axis vector:(-0.1, 0.9) Thumbrotation:-7.812057
Time:19.49054 Axis vector:(0.0, 0.9) Thumbrotation:-2.409566
Time:19.8927 Axis vector:(0.3, 0.9) Thumbrotation:18.19153
Time:19.99315 Axis vector:(0.3, 0.9) Thumbrotation:18.38093
Time:20.09368 Axis vector:(0.3, 0.9) Thumbrotation:18.16252
Time:20.19412 Axis vector:(0.3, 1.0) Thumbrotation:18.05877
Time:20.2945 Axis vector:(0.3, 1.0) Thumbrotation:17.94081
Time:20.39516 Axis vector:(0.3, 1.0) Thumbrotation:17.87454
Time:20.49562 Axis vector:(0.3, 1.0) Thumbrotation:17.79972
Time:20.59609 Axis vector:(0.3, 1.0) Thumbrotation:17.6188
Time:20.69679 Axis vector:(0.3, 1.0) Thumbrotation:16.60262
Time:20.7972 Axis vector:(0.2, 1.0) Thumbrotation:14.40962
Time:20.89814 Axis vector:(0.2, 1.0) Thumbrotation:13.25758
Time:20.99886 Axis vector:(0.2, 1.0) Thumbrotation:12.63051
Time:21.09908 Axis vector:(0.2, 1.0) Thumbrotation:12.34985
Time:21.19942 Axis vector:(0.2, 1.0) Thumbrotation:12.19652
Time:21.2998 Axis vector:(0.2, 1.0) Thumbrotation:12.15889
Time:21.40084 Axis vector:(0.2, 1.0) Thumbrotation:12.33758
Time:21.50098 Axis vector:(0.2, 1.0) Thumbrotation:12.62992
Time:21.60151 Axis vector:(0.2, 1.0) Thumbrotation:13.07414
Time:21.70235 Axis vector:(0.2, 1.0) Thumbrotation:13.58693
Start time:0.1564343
Time:0.2570187 Axis vector:(-0.2, 0.7) Thumbrotation:-18.79696
Time:0.3577444 Axis vector:(-0.2, 0.7) Thumbrotation:-18.92863
Time:0.5177136 Axis vector:(-0.2, 0.7) Thumbrotation:-18.80336
Time:0.625976 Axis vector:(-0.2, 0.7) Thumbrotation:-18.67864
Time:0.7267824 Axis vector:(-0.2, 0.7) Thumbrotation:-18.74936
Time:0.8273231 Axis vector:(-0.2, 0.7) Thumbrotation:-18.85648
Time:0.9279042 Axis vector:(-0.2, 0.7) Thumbrotation:-18.94244
Time:1.039304 Axis vector:(-0.3, 0.7) Thumbrotation:-19.02289
Time:1.139475 Axis vector:(-0.3, 0.7) Thumbrotation:-19.08331
Time:1.239974 Axis vector:(-0.3, 0.7) Thumbrotation:-19.17198
Time:1.340414 Axis vector:(-0.3, 0.7) Thumbrotation:-19.23706
Time:1.440961 Axis vector:(-0.3, 0.7) Thumbrotation:-19.24901
Time:1.541545 Axis vector:(-0.3, 0.7) Thumbrotation:-19.2601
Time:1.642252 Axis vector:(-0.3, 0.7) Thumbrotation:-19.29825
Time:1.742542 Axis vector:(-0.3, 0.7) Thumbrotation:-19.29825
Time:1.843311 Axis vector:(-0.3, 0.7) Thumbrotation:-19.30677
Time:1.943533 Axis vector:(-0.3, 0.7) Thumbrotation:-19.35299
Time:2.044253 Axis vector:(-0.3, 0.7) Thumbrotation:-19.46592
Time:2.144798 Axis vector:(-0.3, 0.7) Thumbrotation:-19.59405
Time:2.245226 Axis vector:(-0.3, 0.7) Thumbrotation:-19.52361
Time:2.345812 Axis vector:(-0.2, 0.8) Thumbrotation:-15.70041
Time:2.446521 Axis vector:(0.0, 0.8) Thumbrotation:0.9183452
Time:2.547176 Axis vector:(0.0, 0.8) Thumbrotation:0.5432066
Time:2.647631 Axis vector:(0.0, 0.8) Thumbrotation:-0.5066768
Time:2.747991 Axis vector:(0.0, 0.8) Thumbrotation:-1.765914
Time:2.848462 Axis vector:(0.0, 0.8) Thumbrotation:-2.987472
Time:2.949151 Axis vector:(-0.1, 0.8) Thumbrotation:-3.974734
Time:3.04974 Axis vector:(-0.1, 0.9) Thumbrotation:-4.430847
Time:3.149932 Axis vector:(-0.1, 0.9) Thumbrotation:-4.587914
Time:3.250841 Axis vector:(-0.1, 0.9) Thumbrotation:-4.662704
Time:3.350928 Axis vector:(-0.1, 0.9) Thumbrotation:-4.643424
Time:3.451835 Axis vector:(-0.1, 0.9) Thumbrotation:-4.516529
Time:3.552541 Axis vector:(-0.1, 0.9) Thumbrotation:-3.870144
Time:3.652803 Axis vector:(0.0, 0.9) Thumbrotation:-2.975062
Time:3.75984 Axis vector:(0.0, 1.0) Thumbrotation:-1.5211
Time:3.864821 Axis vector:(0.0, 1.0) Thumbrotation:-0.5811456
Time:3.965649 Axis vector:(0.0, 1.0) Thumbrotation:0.2055842
Time:4.065784 Axis vector:(0.0, 1.0) Thumbrotation:0.7564052
Time:4.166486 Axis vector:(0.0, 1.0) Thumbrotation:1.043052
Time:4.267133 Axis vector:(0.0, 1.0) Thumbrotation:1.221893
Time:4.367413 Axis vector:(0.0, 0.9) Thumbrotation:1.249605
Time:4.468047 Axis vector:(0.0, 0.9) Thumbrotation:1.233211
Time:4.568662 Axis vector:(0.0, 0.9) Thumbrotation:1.225411
Time:4.66905 Axis vector:(0.0, 0.9) Thumbrotation:1.216918
Time:4.769578 Axis vector:(0.0, 0.9) Thumbrotation:1.210954
Time:4.870383 Axis vector:(0.0, 0.9) Thumbrotation:1.201708
Time:4.970775 Axis vector:(0.0, 1.0) Thumbrotation:1.184321
Time:5.071212 Axis vector:(0.0, 1.0) Thumbrotation:1.184651
Time:5.171741 Axis vector:(0.0, 1.0) Thumbrotation:1.209499
Time:5.272323 Axis vector:(0.0, 1.0) Thumbrotation:1.235272
Time:5.37271 Axis vector:(0.0, 1.0) Thumbrotation:1.432585
Time:5.473617 Axis vector:(0.0, 1.0) Thumbrotation:1.691654
Time:5.573872 Axis vector:(0.0, 1.0) Thumbrotation:1.933607
Time:5.674513 Axis vector:(0.0, 1.0) Thumbrotation:2.237472
Time:5.775115 Axis vector:(0.0, 1.0) Thumbrotation:2.438633
Time:5.875536 Axis vector:(0.0, 1.0) Thumbrotation:2.529407
Time:5.976078 Axis vector:(0.0, 1.0) Thumbrotation:2.613967
Time:6.076568 Axis vector:(0.0, 1.0) Thumbrotation:2.639082
Time:6.177041 Axis vector:(0.0, 1.0) Thumbrotation:2.585583
Time:6.27751 Axis vector:(0.0, 1.0) Thumbrotation:2.658664
Time:6.378075 Axis vector:(0.0, 1.0) Thumbrotation:2.810767
Time:6.478683 Axis vector:(0.1, 1.0) Thumbrotation:3.036671
Time:6.579052 Axis vector:(0.0, 1.0) Thumbrotation:2.92389
Time:6.679822 Axis vector:(0.0, 1.0) Thumbrotation:2.837453
Time:6.780241 Axis vector:(0.0, 1.0) Thumbrotation:2.74224
Time:6.881709 Axis vector:(0.0, 1.0) Thumbrotation:2.813482
Time:6.992587 Axis vector:(0.0, 1.0) Thumbrotation:2.873239
Time:7.092916 Axis vector:(0.0, 1.0) Thumbrotation:2.919669
Time:7.193666 Axis vector:(0.1, 1.0) Thumbrotation:3.17521
Time:7.293992 Axis vector:(0.1, 1.0) Thumbrotation:3.444692
Time:7.394392 Axis vector:(0.1, 1.0) Thumbrotation:3.540276
Time:7.495058 Axis vector:(0.1, 1.0) Thumbrotation:3.565131
Time:7.595479 Axis vector:(0.1, 1.0) Thumbrotation:3.670825
Time:7.696223 Axis vector:(0.1, 1.0) Thumbrotation:3.700205
Time:7.796882 Axis vector:(0.1, 1.0) Thumbrotation:3.663029
Time:7.896978 Axis vector:(0.1, 1.0) Thumbrotation:3.581952
Time:7.997678 Axis vector:(0.1, 1.0) Thumbrotation:3.551981
Time:8.098158 Axis vector:(0.1, 1.0) Thumbrotation:3.242806
Time:8.198624 Axis vector:(0.0, 0.9) Thumbrotation:2.87024
Time:8.299497 Axis vector:(0.0, 0.9) Thumbrotation:2.405501
Time:8.39997 Axis vector:(0.0, 0.9) Thumbrotation:1.909571
Time:8.500232 Axis vector:(0.0, 0.9) Thumbrotation:1.464067
Time:8.600821 Axis vector:(0.0, 0.9) Thumbrotation:1.270416
Time:8.701453 Axis vector:(0.0, 0.9) Thumbrotation:2.47433
Time:8.801925 Axis vector:(0.1, 0.9) Thumbrotation:3.604892
Time:8.902579 Axis vector:(0.1, 1.0) Thumbrotation:5.152368
Time:9.002844 Axis vector:(0.1, 1.0) Thumbrotation:5.872561
Time:9.103548 Axis vector:(0.1, 1.0) Thumbrotation:6.083796
Time:9.20397 Axis vector:(0.1, 1.0) Thumbrotation:6.15772
Time:9.304551 Axis vector:(0.1, 1.0) Thumbrotation:6.289243
Time:9.405087 Axis vector:(0.1, 1.0) Thumbrotation:6.36048
Time:10.12041 Axis vector:(0.0, 1.0) Thumbrotation:0.6106976
Time:10.22046 Axis vector:(-0.2, 0.9) Thumbrotation:-9.399086
Time:10.32164 Axis vector:(-0.1, 1.0) Thumbrotation:-7.641929
Time:10.43289 Axis vector:(-0.1, 0.9) Thumbrotation:-7.560032
Time:10.53336 Axis vector:(-0.1, 0.9) Thumbrotation:-7.749751
Time:10.63383 Axis vector:(-0.1, 0.9) Thumbrotation:-7.409891
Time:10.73465 Axis vector:(-0.1, 0.9) Thumbrotation:-6.996726
Time:10.83489 Axis vector:(-0.1, 0.9) Thumbrotation:-6.817106
Time:10.93525 Axis vector:(-0.1, 0.9) Thumbrotation:-6.775984
Time:11.03596 Axis vector:(-0.1, 0.9) Thumbrotation:-6.896029
Time:11.1367 Axis vector:(-0.1, 0.9) Thumbrotation:-7.058053
Time:11.23698 Axis vector:(-0.1, 0.9) Thumbrotation:-8.507408
Time:82.51057 Axis vector:(-0.6, -0.7) Thumbrotation:-140.6916
Time:82.61143 Axis vector:(-0.6, -0.4) Thumbrotation:-123.1827
Time:82.71175 Axis vector:(-0.7, 0.4) Thumbrotation:-63.78053
Time:82.8121 Axis vector:(-0.4, 0.7) Thumbrotation:-26.7881
Time:82.91293 Axis vector:(-0.3, 0.7) Thumbrotation:-23.51205
Time:83.01367 Axis vector:(-0.3, 0.5) Thumbrotation:-27.30524
Time:83.11397 Axis vector:(-0.3, 0.5) Thumbrotation:-29.04416
Time:83.21421 Axis vector:(-0.3, 0.5) Thumbrotation:-31.06356
Time:83.3149 Axis vector:(-0.3, 0.5) Thumbrotation:-31.85639
Time:83.41556 Axis vector:(-0.3, 0.5) Thumbrotation:-31.9096
Time:83.51596 Axis vector:(-0.3, 0.5) Thumbrotation:-31.84184
Time:83.61643 Axis vector:(-0.3, 0.5) Thumbrotation:-32.26908
Time:83.7169 Axis vector:(-0.3, 0.5) Thumbrotation:-33.03853
Time:83.81891 Axis vector:(-0.3, 0.5) Thumbrotation:-33.58564
Time:83.9291 Axis vector:(-0.3, 0.5) Thumbrotation:-34.10329
Time:84.03038 Axis vector:(-0.3, 0.5) Thumbrotation:-34.35548
Time:84.14162 Axis vector:(-0.3, 0.5) Thumbrotation:-34.13305
Time:84.24174 Axis vector:(-0.3, 0.5) Thumbrotation:-33.69389
Time:84.34226 Axis vector:(-0.3, 0.5) Thumbrotation:-32.93863
Time:84.44286 Axis vector:(-0.3, 0.5) Thumbrotation:-32.19864
Time:84.54333 Axis vector:(-0.3, 0.5) Thumbrotation:-31.64782
Time:84.64416 Axis vector:(-0.3, 0.5) Thumbrotation:-31.25804
Time:84.74435 Axis vector:(-0.3, 0.5) Thumbrotation:-31.62102
Time:84.84494 Axis vector:(-0.3, 0.5) Thumbrotation:-32.45008
Time:84.9455 Axis vector:(-0.3, 0.5) Thumbrotation:-34.22461
Time:85.04604 Axis vector:(-0.4, 0.5) Thumbrotation:-34.92988
Time:85.1465 Axis vector:(-0.4, 0.5) Thumbrotation:-34.80563
Time:85.24714 Axis vector:(-0.3, 0.5) Thumbrotation:-33.74315
Time:85.34753 Axis vector:(-0.3, 0.5) Thumbrotation:-31.70499
Time:85.44799 Axis vector:(-0.3, 0.6) Thumbrotation:-30.94193
Time:85.54849 Axis vector:(-0.3, 0.6) Thumbrotation:-29.64364
Time:85.64896 Axis vector:(-0.3, 0.5) Thumbrotation:-28.23576
Time:85.74953 Axis vector:(-0.3, 0.5) Thumbrotation:-27.46437
Time:85.8501 Axis vector:(-0.3, 0.5) Thumbrotation:-27.11047
Time:85.95094 Axis vector:(-0.3, 0.5) Thumbrotation:-26.90776
Time:86.05146 Axis vector:(-0.3, 0.5) Thumbrotation:-26.73958
Time:86.15182 Axis vector:(-0.3, 0.6) Thumbrotation:-26.75622
Time:86.25225 Axis vector:(-0.3, 0.5) Thumbrotation:-26.95199
Time:86.3527 Axis vector:(-0.3, 0.6) Thumbrotation:-26.92947
Time:86.45358 Axis vector:(-0.3, 0.5) Thumbrotation:-27.03851
Time:86.55396 Axis vector:(-0.3, 0.5) Thumbrotation:-27.15502
Time:86.65449 Axis vector:(-0.3, 0.5) Thumbrotation:-27.30014
Time:86.75494 Axis vector:(-0.3, 0.5) Thumbrotation:-27.36562
Time:86.85553 Axis vector:(-0.3, 0.5) Thumbrotation:-26.97943
Time:86.95596 Axis vector:(-0.3, 0.5) Thumbrotation:-26.94415
Time:87.05658 Axis vector:(-0.3, 0.5) Thumbrotation:-26.79419
Time:87.15708 Axis vector:(-0.3, 0.5) Thumbrotation:-26.68095
Time:87.25761 Axis vector:(-0.3, 0.5) Thumbrotation:-26.65451
Time:87.35792 Axis vector:(-0.3, 0.5) Thumbrotation:-26.3082
Time:87.45871 Axis vector:(-0.3, 0.5) Thumbrotation:-26.23827
Time:87.55938 Axis vector:(-0.3, 0.5) Thumbrotation:-26.28105
Time:87.65974 Axis vector:(-0.3, 0.5) Thumbrotation:-25.98194
Time:87.76012 Axis vector:(-0.2, 0.5) Thumbrotation:-25.87815
Time:87.86073 Axis vector:(-0.2, 0.5) Thumbrotation:-25.54692
Time:87.96115 Axis vector:(-0.2, 0.5) Thumbrotation:-25.83959
Time:88.06164 Axis vector:(-0.2, 0.5) Thumbrotation:-25.85399
Time:88.16223 Axis vector:(-0.3, 0.5) Thumbrotation:-27.50947
Time:88.263 Axis vector:(-0.3, 0.5) Thumbrotation:-28.00611
Time:88.36356 Axis vector:(-0.3, 0.5) Thumbrotation:-29.16276
Time:88.46387 Axis vector:(-0.3, 0.5) Thumbrotation:-30.06078
Time:88.5645 Axis vector:(-0.3, 0.5) Thumbrotation:-30.06847
Time:88.66507 Axis vector:(-0.3, 0.5) Thumbrotation:-30.17047
Time:88.76545 Axis vector:(-0.3, 0.5) Thumbrotation:-30.51125
Time:88.86633 Axis vector:(-0.3, 0.5) Thumbrotation:-31.33022
Time:88.9667 Axis vector:(-0.3, 0.5) Thumbrotation:-31.64992
Time:89.06736 Axis vector:(-0.3, 0.5) Thumbrotation:-31.74356
Time:89.1675 Axis vector:(-0.3, 0.5) Thumbrotation:-32.13224
Time:89.26794 Axis vector:(-0.3, 0.5) Thumbrotation:-32.1217
Time:89.36848 Axis vector:(-0.3, 0.5) Thumbrotation:-31.91906
Time:89.46918 Axis vector:(-0.3, 0.5) Thumbrotation:-31.71462
Time:89.56959 Axis vector:(-0.3, 0.5) Thumbrotation:-32.1372
Time:89.67034 Axis vector:(-0.3, 0.5) Thumbrotation:-32.56418
Time:89.77074 Axis vector:(-0.3, 0.5) Thumbrotation:-32.34794
Time:89.87145 Axis vector:(-0.3, 0.5) Thumbrotation:-32.1045
Time:89.97179 Axis vector:(-0.3, 0.5) Thumbrotation:-31.97466
Time:90.07224 Axis vector:(-0.3, 0.5) Thumbrotation:-31.85619
Time:90.17259 Axis vector:(-0.3, 0.5) Thumbrotation:-31.74435
Time:90.27338 Axis vector:(-0.3, 0.5) Thumbrotation:-31.63465
Time:90.37386 Axis vector:(-0.3, 0.5) Thumbrotation:-31.46249
Time:90.47424 Axis vector:(-0.3, 0.5) Thumbrotation:-31.3396
Time:90.57472 Axis vector:(-0.3, 0.5) Thumbrotation:-31.28618
Time:90.67535 Axis vector:(-0.3, 0.5) Thumbrotation:-31.14829
Time:90.77579 Axis vector:(-0.3, 0.5) Thumbrotation:-31.14596
Time:90.8764 Axis vector:(-0.3, 0.5) Thumbrotation:-31.35211
Time:90.97691 Axis vector:(-0.3, 0.5) Thumbrotation:-31.45796
Time:91.0775 Axis vector:(-0.3, 0.5) Thumbrotation:-31.5456
Time:91.17802 Axis vector:(-0.3, 0.5) Thumbrotation:-31.59164
Time:91.2786 Axis vector:(-0.3, 0.5) Thumbrotation:-31.64482
Time:91.37927 Axis vector:(-0.3, 0.5) Thumbrotation:-31.83877
Time:91.47964 Axis vector:(-0.3, 0.5) Thumbrotation:-30.72429
Time:91.58022 Axis vector:(-0.2, 0.5) Thumbrotation:-16.81953
Time:91.6807 Axis vector:(0.3, 0.5) Thumbrotation:26.27311
Time:91.78123 Axis vector:(0.5, 0.4) Thumbrotation:47.60913
Time:91.88177 Axis vector:(0.7, 0.5) Thumbrotation:56.81797
Time:92.68609 Axis vector:(1.0, 0.0) Thumbrotation:88.3698
Time:92.78654 Axis vector:(1.0, 0.1) Thumbrotation:86.84534
Time:92.88712 Axis vector:(0.9, 0.1) Thumbrotation:86.6583
Time:92.98772 Axis vector:(0.9, 0.1) Thumbrotation:86.7245
Time:93.08817 Axis vector:(0.9, 0.0) Thumbrotation:86.86855
Time:93.18857 Axis vector:(0.9, 0.0) Thumbrotation:86.93746
Time:93.28949 Axis vector:(0.9, 0.0) Thumbrotation:87.02319
Time:93.3898 Axis vector:(0.9, 0.0) Thumbrotation:87.09772
Time:93.49014 Axis vector:(0.9, 0.0) Thumbrotation:87.14148
Time:93.59067 Axis vector:(0.9, 0.0) Thumbrotation:87.03951
Time:93.69123 Axis vector:(0.9, 0.1) Thumbrotation:83.92451
Time:93.79173 Axis vector:(0.9, 0.2) Thumbrotation:78.3362
Time:93.89256 Axis vector:(0.9, 0.3) Thumbrotation:71.56702
Time:93.99284 Axis vector:(0.9, 0.3) Thumbrotation:68.57946
Time:94.09343 Axis vector:(0.9, 0.4) Thumbrotation:67.79469
Time:94.19434 Axis vector:(0.9, 0.4) Thumbrotation:67.04916
Time:94.29443 Axis vector:(0.9, 0.4) Thumbrotation:66.73834
Time:94.39511 Axis vector:(0.9, 0.4) Thumbrotation:66.60033
Time:94.49596 Axis vector:(0.9, 0.4) Thumbrotation:66.47327
Time:94.59599 Axis vector:(0.9, 0.4) Thumbrotation:66.35344
Time:94.69677 Axis vector:(0.9, 0.4) Thumbrotation:66.24009
Time:94.79711 Axis vector:(0.9, 0.4) Thumbrotation:66.13349
Time:94.89764 Axis vector:(0.9, 0.4) Thumbrotation:66.05857
Time:94.99819 Axis vector:(0.9, 0.4) Thumbrotation:65.97343
Time:95.09875 Axis vector:(0.9, 0.4) Thumbrotation:65.92886
Time:95.1991 Axis vector:(0.9, 0.4) Thumbrotation:65.93316
Time:95.29966 Axis vector:(0.9, 0.4) Thumbrotation:65.99268
Time:95.40022 Axis vector:(0.9, 0.4) Thumbrotation:66.0667
Time:95.50085 Axis vector:(0.9, 0.4) Thumbrotation:65.9798
Time:95.60149 Axis vector:(0.9, 0.4) Thumbrotation:65.87969
Time:95.70172 Axis vector:(0.9, 0.4) Thumbrotation:65.74787
Time:95.80236 Axis vector:(0.9, 0.4) Thumbrotation:65.5666
Time:95.90302 Axis vector:(0.9, 0.4) Thumbrotation:65.42643
Time:96.00355 Axis vector:(0.9, 0.4) Thumbrotation:65.44074
Time:96.10385 Axis vector:(0.9, 0.4) Thumbrotation:65.44559
Time:96.20438 Axis vector:(0.9, 0.4) Thumbrotation:65.393
Time:96.30492 Axis vector:(0.8, 0.4) Thumbrotation:65.33877
Time:96.40543 Axis vector:(0.8, 0.4) Thumbrotation:65.34438
Time:96.50606 Axis vector:(0.9, 0.4) Thumbrotation:65.39458
Time:96.60689 Axis vector:(0.9, 0.4) Thumbrotation:65.40733
Time:96.70726 Axis vector:(0.9, 0.4) Thumbrotation:65.44173
Time:96.80775 Axis vector:(0.9, 0.4) Thumbrotation:65.56254
Time:96.90806 Axis vector:(0.9, 0.4) Thumbrotation:65.6432
Time:97.00858 Axis vector:(0.9, 0.4) Thumbrotation:65.64229
Time:97.10925 Axis vector:(0.9, 0.4) Thumbrotation:65.65357
Time:97.20972 Axis vector:(0.9, 0.4) Thumbrotation:65.68864
Time:97.31021 Axis vector:(0.9, 0.4) Thumbrotation:65.75787
Time:97.41075 Axis vector:(0.9, 0.4) Thumbrotation:65.79535
Time:97.51122 Axis vector:(0.9, 0.4) Thumbrotation:65.80573
Time:97.61199 Axis vector:(0.9, 0.4) Thumbrotation:66.48914
Time:97.71233 Axis vector:(0.2, -0.7) Thumbrotation:163.1358
Time:97.81283 Axis vector:(0.2, -0.7) Thumbrotation:163.1358
Time:97.91348 Axis vector:(0.2, -0.7) Thumbrotation:163.1358
Time:98.01396 Axis vector:(0.2, -0.7) Thumbrotation:164.2641
Time:98.11445 Axis vector:(0.2, -0.8) Thumbrotation:165.4775
Time:98.21497 Axis vector:(0.2, -0.8) Thumbrotation:165.6918
Time:98.31549 Axis vector:(0.2, -0.8) Thumbrotation:165.9145
Time:98.41605 Axis vector:(0.2, -0.9) Thumbrotation:166.0339
Time:98.51649 Axis vector:(0.2, -0.9) Thumbrotation:166.0031
Time:98.61708 Axis vector:(0.2, -0.9) Thumbrotation:165.9732
Time:98.71778 Axis vector:(0.2, -0.9) Thumbrotation:165.9429
Time:98.8182 Axis vector:(0.2, -0.9) Thumbrotation:165.9257
Time:98.91857 Axis vector:(0.2, -0.9) Thumbrotation:165.915
Time:99.01943 Axis vector:(0.2, -0.9) Thumbrotation:165.9119
Time:99.11979 Axis vector:(0.2, -0.9) Thumbrotation:165.9119
Time:99.2202 Axis vector:(0.2, -0.9) Thumbrotation:165.9094
Time:99.3209 Axis vector:(0.2, -0.9) Thumbrotation:165.9084
Time:99.4215 Axis vector:(0.2, -0.9) Thumbrotation:165.9079
Time:99.52187 Axis vector:(0.2, -0.9) Thumbrotation:165.907
Time:99.62244 Axis vector:(0.2, -0.9) Thumbrotation:166.4979
Time:99.8234 Axis vector:(-0.8, 0.2) Thumbrotation:-73.6906
Time:99.92383 Axis vector:(-0.8, 0.2) Thumbrotation:-77.32682
Time:100.0244 Axis vector:(-0.7, 0.1) Thumbrotation:-78.93567
Time:100.1252 Axis vector:(-0.7, 0.2) Thumbrotation:-76.92015
Time:100.2256 Axis vector:(-0.7, 0.2) Thumbrotation:-76.29848
Time:100.3261 Axis vector:(-0.7, 0.2) Thumbrotation:-76.47573
Time:100.4265 Axis vector:(-0.7, 0.2) Thumbrotation:-75.71638
Time:100.5271 Axis vector:(-0.6, 0.2) Thumbrotation:-74.8381
Time:100.6276 Axis vector:(-0.6, 0.2) Thumbrotation:-74.24901
Time:100.7281 Axis vector:(-0.6, 0.2) Thumbrotation:-73.95553
Time:100.8287 Axis vector:(-0.6, 0.2) Thumbrotation:-73.41333
Time:100.9293 Axis vector:(-0.6, 0.2) Thumbrotation:-72.20337
Time:101.0298 Axis vector:(-0.5, 0.2) Thumbrotation:-70.48185
Time:101.1302 Axis vector:(-0.5, 0.2) Thumbrotation:-69.91904
Time:101.2309 Axis vector:(-0.5, 0.2) Thumbrotation:-64.78803
Time:101.3316 Axis vector:(-0.4, 0.2) Thumbrotation:-62.82376
Time:101.4326 Axis vector:(-0.4, 0.2) Thumbrotation:-62.2449
Time:101.5435 Axis vector:(-0.4, 0.2) Thumbrotation:-61.68264
Time:101.6441 Axis vector:(-0.4, 0.2) Thumbrotation:-61.36074
