Start time:0.2050475
Start time:0.1293009
Start time:0.2259058
Start time:0.1436359
Time:27.16934 Axis vector:(0.4, 0.5) Thumbrotation:40.57288
Time:27.27 Axis vector:(0.4, 0.5) Thumbrotation:39.93327
Time:27.37064 Axis vector:(0.4, 0.5) Thumbrotation:39.51542
Time:27.47108 Axis vector:(0.4, 0.5) Thumbrotation:39.23175
Time:27.57181 Axis vector:(0.4, 0.5) Thumbrotation:39.17332
Time:27.67232 Axis vector:(0.4, 0.5) Thumbrotation:39.12494
Time:27.77258 Axis vector:(0.4, 0.5) Thumbrotation:39.44531
Time:27.87311 Axis vector:(0.4, 0.5) Thumbrotation:40.43064
Time:27.97368 Axis vector:(0.4, 0.5) Thumbrotation:41.50725
Time:28.07413 Axis vector:(0.4, 0.5) Thumbrotation:41.86452
Time:28.17478 Axis vector:(0.4, 0.5) Thumbrotation:42.30067
Time:28.27522 Axis vector:(0.4, 0.5) Thumbrotation:42.98552
Time:28.37583 Axis vector:(0.4, 0.5) Thumbrotation:43.2556
Time:28.47621 Axis vector:(0.4, 0.5) Thumbrotation:42.94228
Time:28.57675 Axis vector:(0.4, 0.5) Thumbrotation:42.58978
Time:28.67734 Axis vector:(0.4, 0.5) Thumbrotation:42.3176
Time:28.77786 Axis vector:(0.4, 0.5) Thumbrotation:42.0667
Time:28.87824 Axis vector:(0.4, 0.5) Thumbrotation:41.808
Time:28.97887 Axis vector:(0.4, 0.5) Thumbrotation:41.80404
Time:29.07924 Axis vector:(0.4, 0.5) Thumbrotation:41.9615
Time:29.17976 Axis vector:(0.4, 0.5) Thumbrotation:42.16015
Time:29.28063 Axis vector:(0.4, 0.5) Thumbrotation:42.21223
Time:29.38097 Axis vector:(0.4, 0.5) Thumbrotation:42.14898
Time:29.48171 Axis vector:(0.4, 0.5) Thumbrotation:42.05025
Time:29.58195 Axis vector:(0.4, 0.5) Thumbrotation:41.79567
Time:29.68237 Axis vector:(0.4, 0.5) Thumbrotation:41.41947
Time:29.78313 Axis vector:(0.4, 0.5) Thumbrotation:41.02654
Time:29.88481 Axis vector:(0.4, 0.5) Thumbrotation:40.52177
Time:29.99527 Axis vector:(0.4, 0.5) Thumbrotation:40.451
Time:30.09605 Axis vector:(0.4, 0.5) Thumbrotation:40.3828
