Time:2.805926 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:3.006317 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:3.209534 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.2098314 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.4400223 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.648078 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.8547961 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.062392 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.294142 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.520154 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.721069 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.945325 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:2.173995 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:2.388895 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:2.59059 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
